ID Major Occupation Group,Major Occupation Group,ID Minor Occupation Group,Minor Occupation Group,ID Broad Occupation,Broad Occupation,ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Industry Sector,Industry Sector,ID Industry Sub-Sector,Industry Sub-Sector,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation,PUMS Industry,ID PUMS Industry,Slug PUMS Industry
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","111021","General & operations managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",2771,1292.3763346316089,49439.354745579214,18759.071316141555,22,"general-operations-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1110XX","Chief executives & legislators",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",2262,1167.6636847678642,189725.03271441202,81909.18855409682,25,"chief-executives-legislators","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112021","Marketing managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",2189,1148.6678347981258,80131.1603471905,61648.77109395338,22,"marketing-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112022","Sales managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",997,775.2127191907371,101042.96489468405,54259.45531797525,11,"sales-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","112030","Public relations and fundraising managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",1213,855.0734016864,84508.82852431986,37655.71905239401,7,"public-relations-and-fundraising-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","113031","Financial managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",452,521.9673278875177,91866.82522123893,81664.62731077232,6,"financial-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","119070","Entertainment and recreation managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",1429,928.087230998129,37249.783065080475,10736.871600989933,12,"entertainment-and-recreation-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","110000","Management occupations","1191XX","Other managers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",12278,2720.324666990085,56800.22006841505,11216.812881227586,106,"other-managers","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131011","Agents & business managers of artists, performers, & athletes",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",927,747.5035840531473,57576.25674217907,29395.0337437124,7,"agents-business-managers-of-artists-performers-athletes","Spectator sports","7112","spectator-sports"
"110000-290000","Management, business, science, & arts occupations","110000-130000","Management, business, & financial occupations","130000","Business & financial operations occupations","131070","Human resources workers",2018,"2018","71-72","Arts, Entertainment & Recreation and Accommodation & Food Services","71","Arts, Entertainment & Recreation","true","true",1265,873.2089614390608,81487.53517786562,36376.82214996606,11,"human-resources-workers","Spectator sports","7112","spectator-sports"
